x;y
El Progreso;261
Baja Verapaz;291
Zacapa;314
Jalapa;367
Sacatepéquez;369
Sololá;387
Retalhuleu;388
Petén;425
Izabal;466
Totonicapán;471
Santa Rosa;487
Chiquimula;498
Suchitepéquez;621
Chimaltenango;658
Jutiapa;665
Quiché;837
Escuintla;938
Quetzaltenango;959
Huehuetenango;992
San Marcos;1026
Alta Verapaz;1074
Guatemala;4313
