x;y
Extranjero;167
Ignorado;265
Santa Rosa; 286 
Solola; 366 
El Progreso; 467 
Peten; 500 
Sacatepequez; 538 
Jalapa; 564 
Totonicapan; 628 
Zacapa; 665 
Chiquimula; 678 
Baja Verapaz; 714 
Quiche; 727 
Chimaltenango; 741 
Izabal; 822 
Escuintla; 928 
Jutiapa; 979 
Retalhuleu;1084
San Marcos;1088
Suchitepequez;1189
Alta Verapaz;1711
Huehuetenango;1892
Quetzaltenango;1985
Guatemala;17747
