x;y;z;w
Costa Rica;104100900;107014668;-2913768
El Salvador;318214092;149980408;168233684
Honduras;213579857;55939908;157639949
Nicaragua;115208493;24592822;90615671
Panamá;65379728;11355065;54024663
Belice;16015564;757268;15258296
