x;y
Reino Vegetal;656
Industrias Alimenticias;559
Productos Minerales;375
Textiles y sus manufacturas;359
Industrias Químicas;224
Materias Plásticas;128
Metales Comunes;91
Grasas;68
Pastas de Madera;66
Máquinas y Aparatos;38
Mercancía y Productos diversos;23
