x;y;z;w
África;63438408;6736798;56701610
América;2127958689;2919406348;-791447659
Asia;338548028;1046274013;-707725985
Europa;161626694;388542095;-226915401
Oceanía;2328451;13966150;-11637699
Otros;5012724;2001494;3011230
