x;y
T1-2011;0.22
T2-2011;0.29
T3-2011;0.37
T4-2011;0.19
T1-2012;-0.04
T2-2012;-0.11
T3-2012;-0.11
T4-2012;-0.10
T1-2013;-0.01
T2-2013;0.05
T3-2013;-0.01
T4-2013;0.01
T1-2014;0.14
