x;y
El Progreso;976
Zacapa;1307
Sacatepequez;1657
Retalhuleu;2026
Baja Verapaz;2043
Santa Rosa;2143
Izabal;2176
Jalapa;2294
Solola;2531
Jutiapa;2652
Chiquimula;2706
Totonicapan;2963
Suchitepequez;3387
Peten;3458
Escuintla;3787
Chimaltenango;3887
Quetzaltenango;4788
San Marcos;7294
Quiche;7412
Alta Verapaz;7622
Huehuetenango;9035
Guatemala;16065
