x;y
El Progreso;227
Zacapa;355
Baja Verapaz;357
Izabal;378
Jalapa;423
Chiquimula;448
Santa Rosa;466
Retalhuleu;478
Petén;525
Sacatepéquez;538
Sololá;577
Jutiapa;703
Escuintla;812
Totonicapán;856
Suchitepéquez;909
Chimaltenango;995
Quetzaltenango;1219
Alta Verapaz;1266
Quiché;1272
San Marcos;1277
Huehuetenango;1383
Guatemala;3331
